question_id,module_id,module_key,required,visible_default,source_rule,notes
tp_name,3,HDMx_AHMT,Y,Y,"0 common","ME-owned common field"
tp_name,4,HDMx_Class,Y,Y,"0 common","ME-owned common field"
tp_name,5,HDMx_Cfuse,Y,Y,"0 common","ME-owned common field"
tp_name,6,HDMx_EQA,Y,Y,"0 common","ME-owned common field"
tp_name,7,V8,Y,Y,"0 common","ME-owned common field"
tp_name,8,OLB,Y,Y,"0 common","ME-owned common field"
tp_name,9,STHI,Y,Y,"0 common","ME-owned common field"
tp_name,10,HSX,Y,Y,"0 common","ME-owned common field"
process_step,3,HDMx_AHMT,Y,Y,"prefix 3.4.5.6.7","Question applies to module 3"
process_step,4,HDMx_Class,Y,Y,"prefix 3.4.5.6.7","Question applies to module 4"
process_step,5,HDMx_Cfuse,Y,Y,"prefix 3.4.5.6.7","Question applies to module 5"
process_step,6,HDMx_EQA,Y,Y,"prefix 3.4.5.6.7","Question applies to module 6"
process_step,7,V8,Y,Y,"prefix 3.4.5.6.7","Question applies to module 7"
backend_test_process_flow,3,HDMx_AHMT,Y,Y,"prefix 3.4.5.6.7","Required backend flow choice"
backend_test_process_flow,4,HDMx_Class,Y,Y,"prefix 3.4.5.6.7","Required backend flow choice"
backend_test_process_flow,5,HDMx_Cfuse,Y,Y,"prefix 3.4.5.6.7","Required backend flow choice"
backend_test_process_flow,6,HDMx_EQA,Y,Y,"prefix 3.4.5.6.7","Required backend flow choice"
backend_test_process_flow,7,V8,Y,Y,"prefix 3.4.5.6.7","Required backend flow choice"
nsb,1,LCBI,Y,Y,"0 common","Common field applies to all modules"
nsb,2,HDBI,Y,Y,"0 common","Common field applies to all modules"
nsb,3,HDMx_AHMT,Y,Y,"0 common","Common field applies to all modules"
nsb,4,HDMx_Class,Y,Y,"0 common","Common field applies to all modules"
nsb,5,HDMx_Cfuse,Y,Y,"0 common","Common field applies to all modules"
nsb,6,HDMx_EQA,Y,Y,"0 common","Common field applies to all modules"
nsb,7,V8,Y,Y,"0 common","Common field applies to all modules"
nsb,8,OLB,Y,Y,"0 common","Common field applies to all modules"
nsb,9,STHI,Y,Y,"0 common","Common field applies to all modules"
nsb,10,HSX,Y,Y,"0 common","Common field applies to all modules"
mcp,1,LCBI,Y,Y,"0 common","Common field applies to all modules"
mcp,2,HDBI,Y,Y,"0 common","Common field applies to all modules"
mcp,3,HDMx_AHMT,Y,Y,"0 common","Common field applies to all modules"
mcp,4,HDMx_Class,Y,Y,"0 common","Common field applies to all modules"
mcp,5,HDMx_Cfuse,Y,Y,"0 common","Common field applies to all modules"
mcp,6,HDMx_EQA,Y,Y,"0 common","Common field applies to all modules"
mcp,7,V8,Y,Y,"0 common","Common field applies to all modules"
mcp,8,OLB,Y,Y,"0 common","Common field applies to all modules"
mcp,9,STHI,Y,Y,"0 common","Common field applies to all modules"
mcp,10,HSX,Y,Y,"0 common","Common field applies to all modules"
package,1,LCBI,Y,Y,"0 common","Common field applies to all modules"
package,2,HDBI,Y,Y,"0 common","Common field applies to all modules"
package,3,HDMx_AHMT,Y,Y,"0 common","Common field applies to all modules"
package,4,HDMx_Class,Y,Y,"0 common","Common field applies to all modules"
package,5,HDMx_Cfuse,Y,Y,"0 common","Common field applies to all modules"
package,6,HDMx_EQA,Y,Y,"0 common","Common field applies to all modules"
package,7,V8,Y,Y,"0 common","Common field applies to all modules"
package,8,OLB,Y,Y,"0 common","Common field applies to all modules"
package,9,STHI,Y,Y,"0 common","Common field applies to all modules"
package,10,HSX,Y,Y,"0 common","Common field applies to all modules"
bare_die_lid,1,LCBI,Y,Y,"0 common","Common field applies to all modules"
bare_die_lid,2,HDBI,Y,Y,"0 common","Common field applies to all modules"
bare_die_lid,3,HDMx_AHMT,Y,Y,"0 common","Common field applies to all modules"
bare_die_lid,4,HDMx_Class,Y,Y,"0 common","Common field applies to all modules"
bare_die_lid,5,HDMx_Cfuse,Y,Y,"0 common","Common field applies to all modules"
bare_die_lid,6,HDMx_EQA,Y,Y,"0 common","Common field applies to all modules"
bare_die_lid,7,V8,Y,Y,"0 common","Common field applies to all modules"
bare_die_lid,8,OLB,Y,Y,"0 common","Common field applies to all modules"
bare_die_lid,9,STHI,Y,Y,"0 common","Common field applies to all modules"
bare_die_lid,10,HSX,Y,Y,"0 common","Common field applies to all modules"
foveros,1,LCBI,Y,Y,"0 common","Common field applies to all modules"
foveros,2,HDBI,Y,Y,"0 common","Common field applies to all modules"
foveros,3,HDMx_AHMT,Y,Y,"0 common","Common field applies to all modules"
foveros,4,HDMx_Class,Y,Y,"0 common","Common field applies to all modules"
foveros,5,HDMx_Cfuse,Y,Y,"0 common","Common field applies to all modules"
foveros,6,HDMx_EQA,Y,Y,"0 common","Common field applies to all modules"
foveros,7,V8,Y,Y,"0 common","Common field applies to all modules"
foveros,8,OLB,Y,Y,"0 common","Common field applies to all modules"
foveros,9,STHI,Y,Y,"0 common","Common field applies to all modules"
foveros,10,HSX,Y,Y,"0 common","Common field applies to all modules"
implementation_stage,1,LCBI,Y,Y,"0 common","Common field applies to all modules"
implementation_stage,2,HDBI,Y,Y,"0 common","Common field applies to all modules"
implementation_stage,3,HDMx_AHMT,Y,Y,"0 common","Common field applies to all modules"
implementation_stage,4,HDMx_Class,Y,Y,"0 common","Common field applies to all modules"
implementation_stage,5,HDMx_Cfuse,Y,Y,"0 common","Common field applies to all modules"
implementation_stage,6,HDMx_EQA,Y,Y,"0 common","Common field applies to all modules"
implementation_stage,7,V8,Y,Y,"0 common","Common field applies to all modules"
implementation_stage,8,OLB,Y,Y,"0 common","Common field applies to all modules"
implementation_stage,9,STHI,Y,Y,"0 common","Common field applies to all modules"
implementation_stage,10,HSX,Y,Y,"0 common","Common field applies to all modules"
segment,1,LCBI,Y,Y,"0 common","Common field applies to all modules"
segment,2,HDBI,Y,Y,"0 common","Common field applies to all modules"
segment,3,HDMx_AHMT,Y,Y,"0 common","Common field applies to all modules"
segment,4,HDMx_Class,Y,Y,"0 common","Common field applies to all modules"
segment,5,HDMx_Cfuse,Y,Y,"0 common","Common field applies to all modules"
segment,6,HDMx_EQA,Y,Y,"0 common","Common field applies to all modules"
segment,7,V8,Y,Y,"0 common","Common field applies to all modules"
segment,8,OLB,Y,Y,"0 common","Common field applies to all modules"
segment,9,STHI,Y,Y,"0 common","Common field applies to all modules"
segment,10,HSX,Y,Y,"0 common","Common field applies to all modules"
xvi_tool_type,1,LCBI,Y,Y,"0 common","Common field applies to all modules"
xvi_tool_type,2,HDBI,Y,Y,"0 common","Common field applies to all modules"
xvi_tool_type,3,HDMx_AHMT,Y,Y,"0 common","Common field applies to all modules"
xvi_tool_type,4,HDMx_Class,Y,Y,"0 common","Common field applies to all modules"
xvi_tool_type,5,HDMx_Cfuse,Y,Y,"0 common","Common field applies to all modules"
xvi_tool_type,6,HDMx_EQA,Y,Y,"0 common","Common field applies to all modules"
xvi_tool_type,7,V8,Y,Y,"0 common","Common field applies to all modules"
xvi_tool_type,8,OLB,Y,Y,"0 common","Common field applies to all modules"
xvi_tool_type,9,STHI,Y,Y,"0 common","Common field applies to all modules"
xvi_tool_type,10,HSX,Y,Y,"0 common","Common field applies to all modules"
fab_technology,1,LCBI,Y,Y,"0 common","Common field applies to all modules"
fab_technology,2,HDBI,Y,Y,"0 common","Common field applies to all modules"
fab_technology,3,HDMx_AHMT,Y,Y,"0 common","Common field applies to all modules"
fab_technology,4,HDMx_Class,Y,Y,"0 common","Common field applies to all modules"
fab_technology,5,HDMx_Cfuse,Y,Y,"0 common","Common field applies to all modules"
fab_technology,6,HDMx_EQA,Y,Y,"0 common","Common field applies to all modules"
fab_technology,7,V8,Y,Y,"0 common","Common field applies to all modules"
fab_technology,8,OLB,Y,Y,"0 common","Common field applies to all modules"
fab_technology,9,STHI,Y,Y,"0 common","Common field applies to all modules"
fab_technology,10,HSX,Y,Y,"0 common","Common field applies to all modules"
lts_ball,1,LCBI,Y,Y,"0 common","Common field applies to all modules"
lts_ball,2,HDBI,Y,Y,"0 common","Common field applies to all modules"
lts_ball,3,HDMx_AHMT,Y,Y,"0 common","Common field applies to all modules"
lts_ball,4,HDMx_Class,Y,Y,"0 common","Common field applies to all modules"
lts_ball,5,HDMx_Cfuse,Y,Y,"0 common","Common field applies to all modules"
lts_ball,6,HDMx_EQA,Y,Y,"0 common","Common field applies to all modules"
lts_ball,7,V8,Y,Y,"0 common","Common field applies to all modules"
lts_ball,8,OLB,Y,Y,"0 common","Common field applies to all modules"
lts_ball,9,STHI,Y,Y,"0 common","Common field applies to all modules"
lts_ball,10,HSX,Y,Y,"0 common","Common field applies to all modules"
hdmx_ap_pan,3,HDMx_AHMT,Y,Y,"prefix 3.4.5.6","HDMx-specific field"
hdmx_ap_pan,4,HDMx_Class,Y,Y,"prefix 3.4.5.6","HDMx-specific field"
hdmx_ap_pan,5,HDMx_Cfuse,Y,Y,"prefix 3.4.5.6","HDMx-specific field"
hdmx_ap_pan,6,HDMx_EQA,Y,Y,"prefix 3.4.5.6","HDMx-specific field"
edm_check_enable,3,HDMx_AHMT,N,Y,"prefix 3.4.5.6","HDMx-specific optional field"
edm_check_enable,4,HDMx_Class,N,Y,"prefix 3.4.5.6","HDMx-specific optional field"
edm_check_enable,5,HDMx_Cfuse,N,Y,"prefix 3.4.5.6","HDMx-specific optional field"
edm_check_enable,6,HDMx_EQA,N,Y,"prefix 3.4.5.6","HDMx-specific optional field"
ppv_sw_platform,9,STHI,N,Y,"prefix 9","STHI field"
fusion_or_apse,9,STHI,N,Y,"prefix 9","STHI field"
socket_type,9,STHI,N,Y,"prefix 9","STHI field"
thermal_technology,9,STHI,N,Y,"prefix 9","STHI field"
hsx_placeholder,10,HSX,N,Y,"prefix 10","HSX placeholder"
