FACILITY,PRODUCT,PRODUCT_DESCRIPTION,PRODGROUP1,PRODGROUP2,PRODGROUP3,LEN
A48,H68ASLMV   Q 6N RMLVB,RPLP282_PRQ_IT,HDMX,8PRAPTORLKD,RPLP282,21
A48,H68ALNKV B J X1 RMHXB,RPLP682_IW_pullback_route_setup,HDMX,8PRAPTORLKMB,RPLP682,21
A48,H68ALNKV B J X1 RMHYB,RPLP682_IW_pullback_route_setup,HDMX,8PRAPTORLKMB,RPLP682,21
A48,H68ASLKV   Q 6N RMM0B,RPLP282_PRQ_IT,HDMX,8PRAPTORLKD,RPLP282,21
A48,H68ASLKV   Q 6N RMLTB,RPLP282_PRQ_IT,HDMX,8PRAPTORLKD,RPLP282,21
A48,H68ASLKV   Q 6N RMLVB,RPLP282_PRQ_IT,HDMX,8PRAPTORLKD,RPLP282,21
A48,H68ASLKV   Q 4N RMLWB,RPLP282_PRQ_IT,HDMX,8PRAPTORLKD,RPLP282,21
A48,H68ASLKV   Q 4N RMLZB,RPLP282_PRQ_IT,HDMX,8PRAPTORLKD,RPLP282,21
A48,H68ASLKV   Q 4N RMLTB,RPLP282_PRQ_IT,HDMX,8PRAPTORLKD,RPLP282,21
A48,H68ALNMV B J 4N RMJ7B,RPLP682_J2_FC_1Step,HDMX,8PRAPTORLKMB,RPLP682,21
A48,H68ALNAV B J 4N RMJ6B,RPLP682_J2_FC_1Step,HDMX,8PRAPTORLKMB,RPLP682,21
A48,H68ALNAV B J 4N RMJ8B,RPLP682_J2_FC_1Step,HDMX,8PRAPTORLKMB,RPLP682,21
A48,H68ALNAV B J 4N RMJ3B,RPLP682_J2_FC_1Step,HDMX,8PRAPTORLKMB,RPLP682,21
A48,H68ALNAV B J 4N RMHXB,RPLP682_J2_FC_1Step,HDMX,8PRAPTORLKMB,RPLP682,21
A48,H68BKLSV B Q 4T RN7NB,RPRP282_Re-Brand_2-Fact,HDMX,8PRAPTORLKMB,RPRP282,21
A48,H68BKLMV   Q 4N RMYNB,RPLP282_refresh_2Fact_PROD,HDMX,8PRAPTORLKMB,RPRP282,21
A48,H68BKLKV   Q 4N RMYNB,RPLP282_refresh_2Fact_PROD,HDMX,8PRAPTORLKMB,RPRP282,21
A48,H68BKLHV   Q 4N RMYLB,RPLP282_refresh_2Fact_PROD,HDMX,8PRAPTORLKMB,RPRP282,21
A48,H68BKLHV   Q 4N RMYMB,RPLP282_refresh_2Fact_PROD,HDMX,8PRAPTORLKMB,RPRP282,21
A48,H68BKLHV   Q 4N RMYNB,RPLP282_refresh_2Fact_PROD,HDMX,8PRAPTORLKMB,RPRP282,21
A48,H68BKLFV   Q 4N RMYPB,RPLP282_refresh_2Fact_PROD,HDMX,8PRAPTORLKMB,RPRP282,21
A48,H68ASLMV B Q 4N RMLUB,RPLP282_Q-2_HVM_1_Step,HDMX,8PRAPTORLKD,RPLP282,21
A48,H68ASLMV B Q 4N RMLYB,RPLP282_Q-2_HVM_1_Step,HDMX,8PRAPTORLKD,RPLP282,21
A48,H68ASLKV B Q 4N RMLWB,RPLP282_Q-2_HVM_1_Step,HDMX,8PRAPTORLKD,RPLP282,21
A48,H68ASLKV B Q 4N RMLSB,RPLP282_Q-2_HVM_1_Step,HDMX,8PRAPTORLKD,RPLP282,21
A48,H68ASLKV B Q 4N RMLTB,RPLP282_Q-2_HVM_1_Step,HDMX,8PRAPTORLKD,RPLP282,21
A48,H68ASLJV B Q 4N RMLSB,RPLP282_Q-2_HVM_1_Step,HDMX,8PRAPTORLKD,RPLP282,21
A48,H68ASLFV B Q 4N RMLXB,RPLP282_Q-2_HVM_1_Step,HDMX,8PRAPTORLKD,RPLP282,21
A48,H68ASLFV B Q 4N RMLYB,RPLP282_Q-2_HVM_1_Step,HDMX,8PRAPTORLKD,RPLP282,21
A48,H68ASLBV B Q 4N RMLWB,RPLP282_Q-2_HVM_1_Step,HDMX,8PRAPTORLKD,RPLP282,21
A48,H68ASLBV B Q 4N RMLYB,RPLP282_Q-2_HVM_1_Step,HDMX,8PRAPTORLKD,RPLP282,21
A48,H68BKLQV B Q 4N RN7MB,RPRP282_1-Fact_Q-2,HDMX,8PRAPTORLKD,RPRP282,21
A48,H68BKLKV B Q 4N RMYMB,RPRP282_Q-2_2-Fact,HDMX,8PRAPTORLKMB,RPRP282,21
A48,H68BKLKV B Q 4N RMYPB,RPRP282_Q-2_2-Fact,HDMX,8PRAPTORLKMB,RPRP282,21
A48,H68BKLKV B Q 4N RN7NB,RPRP282_1-Fact_Q-2,HDMX,8PRAPTORLKD,RPRP282,21
A48,H68BKLHV B Q 4N RN7QB,RPRP282_1-Fact_Q-2,HDMX,8PRAPTORLKD,RPRP282,21
A48,H68BKLBV B Q 4N RN7QB,RPRP282_1-Fact_Q-2,HDMX,8PRAPTORLKD,RPRP282,21
A48,H68BKLBV B Q 4N RN7MB,RPRP282_1-Fact_Q-2,HDMX,8PRAPTORLKD,RPRP282,21
A48,H68ALNSV D J 4T RMHZB,RPLP682_J4_HVM 66Z2 BM,HDMX,8PRAPTORLKMB,RPLP682,21
A48,H68ALNSV D J 4T RMJ0B,RPLP682_J4_HVM 66Z2 BM,HDMX,8PRAPTORLKMB,RPLP682,21
A48,H68ALNKV D J 4T RMHYB,RPLP682_J4_HVM 66Z2 BM,HDMX,8PRAPTORLKMB,RPLP682,21
A48,H68ALNAV D J 4T RMHZB,RPLP682_J4_HVM 66Z2 BM,HDMX,8PRAPTORLKMB,RPLP682,21
A48,H68BKLSV B Q 4N RPD5B,RPRP282_1-Fact_Q-2_w50,HDMX,8PRAPTORLKD,RPRP282,21
A48,H68BKLHV B Q 4N RPD5B,RPRP282_1-Fact_Q-2_w50,HDMX,8PRAPTORLKD,RPRP282,21
A48,H68BKLFV B Q 4N RPD5B,RPRP282_1-Fact_Q-2_w50,HDMX,8PRAPTORLKD,RPRP282,21
A48,H68ASLBV B Q X1 RMLWB,RPLP282_IW_pullback_route_setup,HDMX,8PRAPTORLKD,RPLP282,21
A48,H68ASLQV B Q X1 RMLSB,RPLP282_IW_pullback_route_setup,HDMX,8PRAPTORLKD,RPLP282,21
A48,H68ASLMV B Q X1 RMLWB,RPLP282_IW_pullback_route_setup,HDMX,8PRAPTORLKD,RPLP282,21
A48,H68ASLKV B Q X1 RMLYB,RPLP282_IW_pullback_route_setup,HDMX,8PRAPTORLKD,RPLP282,21
A48,H68ASLMV B Q X1 RMLSB,RPLP282_IW_pullback_route_setup,HDMX,8PRAPTORLKD,RPLP282,21
A48,H68ASLMV B Q X1 RMLTB,RPLP282_IW_pullback_route_setup,HDMX,8PRAPTORLKD,RPLP282,21
A48,H68ASLJV B Q X1 RMLVB,RPLP282_IW_pullback_route_setup,HDMX,8PRAPTORLKD,RPLP282,21
A48,H68ASLJV B Q X1 RMLWB,RPLP282_IW_pullback_route_setup,HDMX,8PRAPTORLKD,RPLP282,21
A48,H68ASLHV B Q X1 RMM0B,RPLP282_IW_pullback_route_setup,HDMX,8PRAPTORLKD,RPLP282,21
A48,H68ASLFV B Q X1 RMLWB,RPLP282_IW_pullback_route_setup,HDMX,8PRAPTORLKD,RPLP282,21
A48,H68ASLFV B Q X1 RMLZB,RPLP282_IW_pullback_route_setup,HDMX,8PRAPTORLKD,RPLP282,21
A48,H68ASLFV B Q X1 RMM0B,RPLP282_IW_pullback_route_setup,HDMX,8PRAPTORLKD,RPLP282,21
A48,H68ASLEV   Q 4N RMLVB,RPLP282_HVM_1_Step,HDMX,8PRAPTORLKD,RPLP282,21
A48,H68ASLBV   Q X1 RMLUB,RPLP282_IW_pullback_route_setup,HDMX,8PRAPTORLKD,RPLP282,21
A48,H68ASLMV   Q X1 RMLSB,RPLP282_IW_pullback_route_setup,HDMX,8PRAPTORLKD,RPLP282,21
A48,H68ASLKV   Q X1 RMLXB,RPLP282_IW_pullback_route_setup,HDMX,8PRAPTORLKD,RPLP282,21
A48,H68ASLKV   Q X1 RMLSB,RPLP282_IW_pullback_route_setup,HDMX,8PRAPTORLKD,RPLP282,21
A48,H68ASLQV   Q 6T RMLXB,RPLP282_1_Step_DOE,HDMX,8PRAPTORLKD,RPLP282,21
A48,H68ASLQV   Q 6T RMLYB,RPLP282_1_Step_DOE,HDMX,8PRAPTORLKD,RPLP282,21
A48,H68ASLQV   Q 6T RMM0B,RPLP282_1_Step_DOE,HDMX,8PRAPTORLKD,RPLP282,21
A48,H68ASLHV   Q 6T RMLUB,RPLP282_1_Step_DOE,HDMX,8PRAPTORLKD,RPLP282,21
A48,H68ASLHV   Q 6T RMLWB,RPLP282_1_Step_DOE,HDMX,8PRAPTORLKD,RPLP282,21
A48,H68ASLSV B Q 4N RMLUB,RPLP282_Q-2_HVM_1_Step,HDMX,8PRAPTORLKD,RPLP282,21
A48,H68ALNGV D J 4N RMJ4B,RPLP682_BIE_1FACT,HDMX,8PRAPTORLKMB,RPLP682,21
A48,H68ALNGV D J 4N RMJ8B,RPLP682_BIE_1FACT,HDMX,8PRAPTORLKMB,RPLP682,21
A48,H68BMNFV E J 4T RMHXB,RPRP682_PRQ_1FACT_J5_CH,HDMX,8PRAPTORLKMB,RPRP682,21
A48,H68ALNDV D J 4N RMJ7B,RPLP682_BIE_1FACT,HDMX,8PRAPTORLKMB,RPLP682,21
A48,H68ALNDV D J 4N RMHXB,RPLP682_BIE_1FACT,HDMX,8PRAPTORLKMB,RPLP682,21
A48,H68ALNAV D J 4N RMJ5B,RPLP682_BIE_1FACT,HDMX,8PRAPTORLKMB,RPLP682,21
A48,H68BMNFV E J 4T RQ6VB,RPRP682_PRQ_1FACT_J5_CH,HDMX,8PRAPTORLKMB,RPRP682,21
A48,H68ALNXV D J 4N RMHXB,RPLP682_BIE_1FACT,HDMX,8PRAPTORLKMB,RPLP682,21
A48,H68ALNMV D J 4N RMJ0B,RPLP682_BIE_1FACT,HDMX,8PRAPTORLKMB,RPLP682,21
A48,H68ALNKV D J 4N RMJ3B,RPLP682_BIE_1FACT,HDMX,8PRAPTORLKMB,RPLP682,21
A48,H68ALNKV D J 4N RMJ6B,RPLP682_BIE_1FACT,HDMX,8PRAPTORLKMB,RPLP682,21
A48,H68BMNAV E J 4N RQ6VB,RPRP682_PRQ_1FACT_J5,HDMX,8PRAPTORLKMB,RPRP682,21
A48,H68ALNXV D J 4T RMJ0B,RPLP682_PRQ_1FACT_CH,HDMX,8PRAPTORLKMB,RPLP682,21
A48,H68ALNXV D J 4T RMHYB,RPLP682_PRQ_1FACT_CH,HDMX,8PRAPTORLKMB,RPLP682,21
A48,H68ALNGV D J 4T RMJ4B,RPLP682_PRQ_1FACT_CH,HDMX,8PRAPTORLKMB,RPLP682,21
A48,H68ALNFV D J 4T RMJ0B,RPLP682_PRQ_1FACT_CH,HDMX,8PRAPTORLKMB,RPLP682,21
A48,H68ALNDV D J 4T RMJ3B,RPLP682_PRQ_1FACT_CH,HDMX,8PRAPTORLKMB,RPLP682,21
A48,H68ALNDV D J 4T RMJ5B,RPLP682_PRQ_1FACT_CH,HDMX,8PRAPTORLKMB,RPLP682,21
A48,H68ALNDV D J 4T RMJ7B,RPLP682_PRQ_1FACT_CH,HDMX,8PRAPTORLKMB,RPLP682,21
A48,H68BMNSV E J 4T RQ6RB,RPRP682_1FACT_J5_HVM,HDMX,8PRAPTORLKMB,RPRP682,21
A48,H68BMNLV E J 4T RQ6VB,RPRP682_1FACT_J5_HVM,HDMX,8PRAPTORLKMB,RPRP682,21
A48,P58APSAV C C X1 RN3QB,RPLS881_FVR_pullback,HDMX,8PALDERLKD,RPRS881,21
A48,P58APSAV C C X1 RN3RB,RPLS881_FVR_pullback,HDMX,8PALDERLKD,RPRS881,21
A48,P58APSAV C C X1 RN3TB,RPLS881_FVR_pullback,HDMX,8PALDERLKD,RPRS881,21
A48,P58APSSV C C X1 RN3NB,RPLS881_FVR_pullback,HDMX,8PALDERLKD,RPRS881,21
A48,P58APSSV C C X1 RN3TB,RPLS881_FVR_pullback,HDMX,8PALDERLKD,RPRS881,21
A48,P58APSFV C C X1 RN3RB,RPLS881_FVR_pullback,HDMX,8PALDERLKD,RPRS881,21
A48,P58APSFV C C X1 RN3SB,RPLS881_FVR_pullback,HDMX,8PALDERLKD,RPRS881,21
A48,P58APSBV C C X1 RN3SB,RPLS881_FVR_pullback,HDMX,8PALDERLKD,RPRS881,21
A48,P54EXSBV A B 4S QXLBB,ADLS881_ES2,HDMX,8PALDERLKD,ADLS881,21
A48,P54EXSFV A B 4S QX7FB,ADLS881_ES2,HDMX,8PALDERLKD,ADLS881,21
A48,P54EXSFV A B 4S QXDYB,ADLS881_ES2,HDMX,8PALDERLKD,ADLS881,21
A48,P54EXSMV A B 4S QXFHB,ADLS881_ES2,HDMX,8PALDERLKD,ADLS881,21
A48,P54EXSMV A B 4S QXJEB,ADLS881_ES2,HDMX,8PALDERLKD,ADLS881,21
A48,P54EXSSV A B 4S QX7HB,ADLS881_ES2,HDMX,8PALDERLKD,ADLS881,21
A48,P54EXSAV A B 4M QXLAB,ADLS881_ES2,HDMX,8PALDERLKD,ADLS881,21
A48,P54EXSBV A B 4M QXJEB,ADLS881_ES2,HDMX,8PALDERLKD,ADLS881,21
A48,P54EXSBV A B 4S QXQ3B,ADLS881_ES2,HDMX,8PALDERLKD,ADLS881,21
A48,P54EXSBV A B 5M QXFHB,ADLS881_ES2,HDMX,8PALDERLKD,ADLS881,21
A48,P54EXSFV A B 4M QXJEB,ADLS881_ES2,HDMX,8PALDERLKD,ADLS881,21
A48,P54EXSFV A B 4M QXJFB,ADLS881_ES2,HDMX,8PALDERLKD,ADLS881,21
A48,P54EXSFV A B 4S QXQ3B,ADLS881_ES2,HDMX,8PALDERLKD,ADLS881,21
A48,P54EXSFV A B 4S QXQ4B,ADLS881_ES2,HDMX,8PALDERLKD,ADLS881,21
A48,P54EXSFV A B 5M QXJDB,ADLS881_ES2,HDMX,8PALDERLKD,ADLS881,21
A48,P54EXSMV A B 4M QX7HB,ADLS881_ES2,HDMX,8PALDERLKD,ADLS881,21
A48,P54EXSMV A B 4M QXDYB,ADLS881_ES2,HDMX,8PALDERLKD,ADLS881,21
A48,P54EXSMV A B 4M QXLBB,ADLS881_ES2,HDMX,8PALDERLKD,ADLS881,21
A48,P54EXSMV A B 4M QXQ4B,ADLS881_ES2,HDMX,8PALDERLKD,ADLS881,21
A48,P54EXSSV A B 4M QXQ3B,ADLS881_ES2,HDMX,8PALDERLKD,ADLS881,21
A48,P54EXSSV A B 4S QXQ3B,ADLS881_ES2,HDMX,8PALDERLKD,ADLS881,21
A48,P54EXSSV A B 5M QXFHB,ADLS881_ES2,HDMX,8PALDERLKD,ADLS881,21
A48,P54EXSSV A B 5M QXLBB,ADLS881_ES2,HDMX,8PALDERLKD,ADLS881,21
A48,P54JXSMV A B 4S QXJBB,ADLS881_IOTGES2,HDMX,8PALDERLKD,ADLG881,21
A48,P54JXSMV A B 4S QXJQB,ADLS881_IOTGES2,HDMX,8PALDERLKD,ADLG881,21
A48,P54JXSMV A B 4S QXJTB,ADLS881_IOTGES2,HDMX,8PALDERLKD,ADLG881,21
A48,P54UXSAV   C AF     B,ADLS881_C0QS,HDMX,8PALDERLKD,ADLS881,21
A48,P54JXSSV A B AF     B,ADLS881_IOTGES2,HDMX,8PALDERLKD,ADLG881,21
A48,P54JXSAV A B 4S QXJAB,ADLS881_IOTGES2,HDMX,8PALDERLKD,ADLG881,21
A48,P54JXSBV A B 4S QXJKB,ADLS881_IOTGES2,HDMX,8PALDERLKD,ADLG881,21
A48,P54JXSFV A B 4S QXJAB,ADLS881_IOTGES2,HDMX,8PALDERLKD,ADLG881,21
A48,P54UXSBV A C 5M QYHQB,ADLS881_C1 QS_Setup,HDMX,8PALDERLKD,ADLS881,21
A48,P54UXSBV A C 5M QYHXB,ADLS881_C1 QS_Setup,HDMX,8PALDERLKD,ADLS881,21
A48,P54UXSSV A C 5M QYHSB,ADLS881_C1 QS_Setup,HDMX,8PALDERLKD,ADLS881,21
A48,P54UXSSV A C 5M QYJ1B,ADLS881_C1 QS_Setup,HDMX,8PALDERLKD,ADLS881,21
A48,P54UXSSV A C 5M QYJ2B,ADLS881_C1 QS_Setup,HDMX,8PALDERLKD,ADLS881,21
A48,P54UXSMV A B CF     B,ADLS881_FACT,HDMX,8PALDERLKD,ADLS881,21
A48,P54UXSBV A C 5S QYHNB,ADLS881_C1 QS_Setup,HDMX,8PALDERLKD,ADLS881,21
A48,P54UXSBV A C 5S QYHWB,ADLS881_C1 QS_Setup,HDMX,8PALDERLKD,ADLS881,21
A48,P54UXSBV A C 5S QYHXB,ADLS881_C1 QS_Setup,HDMX,8PALDERLKD,ADLS881,21
A48,P54UXSFV A C 4M QY65B,ADLS881_C1 QS_Setup,HDMX,8PALDERLKD,ADLS881,21
A48,P54UXSFV A C 4M QYEHB,ADLS881_C1 QS_Setup,HDMX,8PALDERLKD,ADLS881,21
A48,P54UXSSV A C 5M QYL1B,ADLS881_C1 QS_Setup,HDMX,8PALDERLKD,ADLS881,21
A48,P54UXSSV A C 5S QY66B,ADLS881_C1 QS_Setup,HDMX,8PALDERLKD,ADLS881,21
A48,P54UXSSV A C 5S QYHNB,ADLS881_C1 QS_Setup,HDMX,8PALDERLKD,ADLS881,21
A48,P54UXSSV A C 5S QYHQB,ADLS881_C1 QS_Setup,HDMX,8PALDERLKD,ADLS881,21
A48,P54UXSSV A C 5S QYJ2B,ADLS881_C1 QS_Setup,HDMX,8PALDERLKD,ADLS881,21
A48,P54UXSFV A C 4M QYHYB,ADLS881_C1 QS_Setup,HDMX,8PALDERLKD,ADLS881,21
A48,P54UXSFV A C 4M QYJ2B,ADLS881_C1 QS_Setup,HDMX,8PALDERLKD,ADLS881,21
A48,P54UXSSV A C 5S QYKYB,ADLS881_C1 QS_Setup,HDMX,8PALDERLKD,ADLS881,21
A48,P54UXSFV A C 4S QYJ4B,ADLS881_C1 QS_Setup,HDMX,8PALDERLKD,ADLS881,21
A48,P54UXSFV A C 4S QYL1B,ADLS881_C1 QS_Setup,HDMX,8PALDERLKD,ADLS881,21
A48,P54UXSFV A C KF     B,ADLS881_C1 QS_Setup,HDMX,8PALDERLKD,ADLS881,21
A48,P54UXSMV A C KF     B,ADLS881_C1 QS_Setup,HDMX,8PALDERLKD,ADLS881,21
A48,P54UXSFV A C 5M QYHFB,ADLS881_C1 QS_Setup,HDMX,8PALDERLKD,ADLS881,21
A48,P54UXSFV A C 5M QYHPB,ADLS881_C1 QS_Setup,HDMX,8PALDERLKD,ADLS881,21
A48,P54UXSFV A C 5M QYHRB,ADLS881_C1 QS_Setup,HDMX,8PALDERLKD,ADLS881,21
A48,P54UXSFV A C 5M QYK7B,ADLS881_C1 QS_Setup,HDMX,8PALDERLKD,ADLS881,21
A48,P54UXSFV A C 5M QYL1B,ADLS881_C1 QS_Setup,HDMX,8PALDERLKD,ADLS881,21
A48,P54UXSFV A C 5S QYEHB,ADLS881_C1 QS_Setup,HDMX,8PALDERLKD,ADLS881,21
A48,P54UXSAV A C 4M QY66B,ADLS881_C1 QS_Setup,HDMX,8PALDERLKD,ADLS881,21
A48,P54UXSAV A C 4M QYHJB,ADLS881_C1 QS_Setup,HDMX,8PALDERLKD,ADLS881,21
A48,P54UXSAV A C 4M QYHXB,ADLS881_C1 QS_Setup,HDMX,8PALDERLKD,ADLS881,21
A48,P54UXSFV A C 5S QYKYB,ADLS881_C1 QS_Setup,HDMX,8PALDERLKD,ADLS881,21
A48,P54UXSMV A C 4M QY5RB,ADLS881_C1 QS_Setup,HDMX,8PALDERLKD,ADLS881,21
A48,P54UXSMV A C 4M QYHGB,ADLS881_C1 QS_Setup,HDMX,8PALDERLKD,ADLS881,21
A48,P54UXSMV A C 4M QYHPB,ADLS881_C1 QS_Setup,HDMX,8PALDERLKD,ADLS881,21
A48,P54UXSMV A C 4M QYHYB,ADLS881_C1 QS_Setup,HDMX,8PALDERLKD,ADLS881,21
A48,P54UXSAV   C KF     B,ADLS881_EVS,HDMX,8PALDERLKD,ADLS881,21
A48,P54UXSAV A C 4S QYHWB,ADLS881_C1 QS_Setup,HDMX,8PALDERLKD,ADLS881,21
A48,P54UXSAV A C 4S QYHXB,ADLS881_C1 QS_Setup,HDMX,8PALDERLKD,ADLS881,21
A48,P54UXSAV A C 4S QYKXB,ADLS881_C1 QS_Setup,HDMX,8PALDERLKD,ADLS881,21
A48,P54UXSMV A C 4S QY5UB,ADLS881_C1 QS_Setup,HDMX,8PALDERLKD,ADLS881,21
A48,P54UXSMV A C 4S QYHGB,ADLS881_C1 QS_Setup,HDMX,8PALDERLKD,ADLS881,21
A48,P54UXSAV A C 5M QY5UB,ADLS881_C1 QS_Setup,HDMX,8PALDERLKD,ADLS881,21
A48,P54UXSAV A C 5M QY65B,ADLS881_C1 QS_Setup,HDMX,8PALDERLKD,ADLS881,21
A48,P54UXSAV A C 5M QYHNB,ADLS881_C1 QS_Setup,HDMX,8PALDERLKD,ADLS881,21
A48,P54UXSMV A C 4S QYL0B,ADLS881_C1 QS_Setup,HDMX,8PALDERLKD,ADLS881,21
A48,P54UXSMV A C 5M QYHGB,ADLS881_C1 QS_Setup,HDMX,8PALDERLKD,ADLS881,21
A48,P54UXSMV A C 5M QYHNB,ADLS881_C1 QS_Setup,HDMX,8PALDERLKD,ADLS881,21
A48,P54UXSMV A C 5S QYHGB,ADLS881_C1 QS_Setup,HDMX,8PALDERLKD,ADLS881,21
A48,P54UXSAV A C 5S QYKZB,ADLS881_C1 QS_Setup,HDMX,8PALDERLKD,ADLS881,21
A48,P54UXSBV A C 4M QY5RB,ADLS881_C1 QS_Setup,HDMX,8PALDERLKD,ADLS881,21
A48,P54UXSBV A C 4M QYHHB,ADLS881_C1 QS_Setup,HDMX,8PALDERLKD,ADLS881,21
A48,P54UXSMV A C 5S QYHRB,ADLS881_C1 QS_Setup,HDMX,8PALDERLKD,ADLS881,21
A48,P54UXSMV A C 5S QYHYB,ADLS881_C1 QS_Setup,HDMX,8PALDERLKD,ADLS881,21
A48,P54UXSMV A C 5S QYJ3B,ADLS881_C1 QS_Setup,HDMX,8PALDERLKD,ADLS881,21
A48,P54UXSMV A C 5S QYKXB,ADLS881_C1 QS_Setup,HDMX,8PALDERLKD,ADLS881,21
A48,P54UXSMV A C 5S QYL1B,ADLS881_C1 QS_Setup,HDMX,8PALDERLKD,ADLS881,21
A48,P54UXSSV A C 4M QY5UB,ADLS881_C1 QS_Setup,HDMX,8PALDERLKD,ADLS881,21
A48,P54UXSBV A C 4S QYHHB,ADLS881_C1 QS_Setup,HDMX,8PALDERLKD,ADLS881,21
A48,P54UXSSV A C 4M QYHHB,ADLS881_C1 QS_Setup,HDMX,8PALDERLKD,ADLS881,21
A48,P54UXSSV A C 4M QYHSB,ADLS881_C1 QS_Setup,HDMX,8PALDERLKD,ADLS881,21
A48,P54JXSSV A C 4M QYMJB,ADLS881_IOTG_C1 QS_Setup,HDMX,8PALDERLKD,ADLG881,21
A48,P54JXSSV A C 4S QYMFB,ADLS881_IOTG_C1 QS_Setup,HDMX,8PALDERLKD,ADLG881,21
